,COMMA,COLON,SEMI,LPAREN,RPAREN,LBRACK,RBRACK,MINUS,PLUS,MULT,DIV,EQ,LESSER,NEQ,GREATER,LESSEREQ,GREATEREQ,AND,OR,ASSIGN,COMMENT,ID,INTLIT,STRLIT,$,NULL,ARRAY,BREAK,DO,ELSE,END,FOR,FUNC,IF,IN,LET,NIL,OF,THEN,TO,TYPE,VAR,WHILE,ENDIF,BEGIN,ENDDO,RETURN,START,_COMMENT_END,TIGER_PROGRAM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TIGER_PROGRAM --> LET DECLARATION_SEGMENT IN STAT_SEQ END ,,,,,,,,,,,,,,
DECLARATION_SEGMENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DECLARATION_SEGMENT --> TYPE_DECLARATION_LIST VAR_DECLARATION_LIST FUNCT_DECLARATION_LIST ,,,,,,,,DECLARATION_SEGMENT --> TYPE_DECLARATION_LIST VAR_DECLARATION_LIST FUNCT_DECLARATION_LIST ,DECLARATION_SEGMENT --> TYPE_DECLARATION_LIST VAR_DECLARATION_LIST FUNCT_DECLARATION_LIST ,,,,,,,,
TYPE_DECLARATION_LIST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TYPE_DECLARATION_LIST --> NULL ,,TYPE_DECLARATION_LIST --> NULL ,,,,,,TYPE_DECLARATION_LIST --> TYPE_DECLARATION TYPE_DECLARATION_LIST ,TYPE_DECLARATION_LIST --> NULL ,,,,,,,,
VAR_DECLARATION_LIST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VAR_DECLARATION_LIST --> NULL ,,VAR_DECLARATION_LIST --> NULL ,,,,,,,VAR_DECLARATION_LIST --> VAR_DECLARATION VAR_DECLARATION_LIST ,,,,,,,,
FUNCT_DECLARATION_LIST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FUNCT_DECLARATION_LIST --> FUNCT_DECLARATION FUNCT_DECLARATION_LIST ,,FUNCT_DECLARATION_LIST --> NULL ,,,,,,,,,,,,,,,
TYPE_DECLARATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TYPE_DECLARATION --> TYPE ID EQ TYPE ,,,,,,,,,
TYPE,,,,,,,,,,,,,,,,,,,,,,,,,,,TYPE --> ARRAY LBRACK INTLIT RBRACK TYPEDIM OF TYPE_ID SEMI ,,,,,,,,,,,,,,,,,,,,,,,
TYPEDIM,,,,,,TYPEDIM --> LBRACK INTLIT RBRACK TYPEDIM ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TYPEDIM --> NULL ,,,,,,,,,,,,
TYPE_ID,,,,,,,,,,,,,,,,,,,,,,TYPE_ID --> ID ,TYPE_ID --> INTLIT ,TYPE_ID --> STRLIT ,,,,,,,,,,,,,,,,,,,,,,,,,,
VAR_DECLARATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VAR_DECLARATION --> VAR ID_LIST COLON TYPE_ID OPTIONAL_INIT SEMI ,,,,,,,,
ID_LIST,,,,,,,,,,,,,,,,,,,,,,ID_LIST --> ID ID_LIST_PRIME ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ID_LIST_PRIME,ID_LIST_PRIME --> COMMA ID_LIST ,ID_LIST_PRIME --> NULL ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OPTIONAL_INIT,,,OPTIONAL_INIT --> NULL ,,,,,,,,,,,,,,,,,OPTIONAL_INIT --> ASSIGN CONST ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FUNCT_DECLARATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FUNCT_DECLARATION --> FUNC ID LPAREN PARAM_LIST RPAREN RET_TYPE BEGIN STAT_SEQ END SEMI ,,,,,,,,,,,,,,,,,
PARAM_LIST,,,,,PARAM_LIST --> NULL ,,,,,,,,,,,,,,,,,PARAM_LIST --> PARAM PARAM_LIST_TAIL ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PARAM_LIST_TAIL,PARAM_LIST_TAIL --> COMMA PARAM PARAM_LIST_TAIL ,,,,PARAM_LIST_TAIL --> NULL ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RET_TYPE,,RET_TYPE --> COLON TYPE_ID ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RET_TYPE --> NULL ,,,,,
PARAM,,,,,,,,,,,,,,,,,,,,,,PARAM --> ID COLON TYPE_ID ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STAT_SEQ,,,,,,,,,,,,,,,,,,,,,,STAT_SEQ --> STAT STAT_SEQ_PRIME ,,,,,,STAT_SEQ --> STAT STAT_SEQ_PRIME ,,,,STAT_SEQ --> STAT STAT_SEQ_PRIME ,,,,,,,,,,,STAT_SEQ --> STAT STAT_SEQ_PRIME ,,,,STAT_SEQ --> STAT STAT_SEQ_PRIME ,,,
STAT_SEQ_PRIME,,,,,,,,,,,,,,,,,,,,,,STAT_SEQ_PRIME --> STAT STAT_SEQ_PRIME ,,,,,,STAT_SEQ_PRIME --> STAT STAT_SEQ_PRIME ,,STAT_SEQ_PRIME --> NULL ,STAT_SEQ_PRIME --> NULL ,STAT_SEQ_PRIME --> STAT STAT_SEQ_PRIME ,,,,,,,,,,,STAT_SEQ_PRIME --> STAT STAT_SEQ_PRIME ,STAT_SEQ_PRIME --> NULL ,,STAT_SEQ_PRIME --> NULL ,STAT_SEQ_PRIME --> STAT STAT_SEQ_PRIME ,,,
STAT,,,,,,,,,,,,,,,,,,,,,,STAT --> ID STAT_AFTER_ID ,,,,,,STAT --> BREAK SEMI ,,,,STAT --> FOR ID ASSIGN EXPR TO EXPR DO STAT_SEQ ENDDO SEMI ,,,,,,,,,,,STAT --> WHILE EXPR DO STAT_SEQ ENDDO SEMI ,,,,STAT --> RETURN EXPR SEMI ,,,
STAT_IF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,STAT_IF --> IF EXPR THEN STAT_SEQ STAT_IF_CLAUSE_2 ,,,,,,,,,,,,,,,,
STAT_IF_CLAUSE_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,STAT_IF_CLAUSE_2 --> ELSE STAT_SEQ ENDIF SEMI ,,,,,,,,,,,,,,STAT_IF_CLAUSE_2 --> ENDIF SEMI ,,,,,,
STAT_AFTER_ID,,,,STAT_AFTER_ID --> LPAREN EXPR_LIST RPAREN SEMI ,,STAT_AFTER_ID --> LVALUE_TAIL ASSIGN EXPR_OR_ID SEMI ,,,,,,,,,,,,,,STAT_AFTER_ID --> LVALUE_TAIL ASSIGN EXPR_OR_ID SEMI ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EXPR_OR_ID,,,,EXPR_OR_ID --> EXPR_NO_LVALUE ,,,,EXPR_OR_ID --> EXPR_NO_LVALUE ,,,,,,,,,,,,,,EXPR_OR_ID --> ID EXPR_OR_FUNC ,EXPR_OR_ID --> EXPR_NO_LVALUE ,EXPR_OR_ID --> EXPR_NO_LVALUE ,,,,,,,,,,,,,EXPR_OR_ID --> EXPR_NO_LVALUE ,,,,,,,,,,,,,
EXPR_OR_FUNC,,,,EXPR_OR_FUNC --> LPAREN EXPR_LIST RPAREN ,,EXPR_OR_FUNC --> LVALUE_TAIL EXPR_ANY_TAIL ,,,EXPR_OR_FUNC --> LVALUE_TAIL EXPR_ANY_TAIL ,EXPR_OR_FUNC --> LVALUE_TAIL EXPR_ANY_TAIL ,,EXPR_OR_FUNC --> LVALUE_TAIL EXPR_ANY_TAIL ,EXPR_OR_FUNC --> LVALUE_TAIL EXPR_ANY_TAIL ,EXPR_OR_FUNC --> LVALUE_TAIL EXPR_ANY_TAIL ,EXPR_OR_FUNC --> LVALUE_TAIL EXPR_ANY_TAIL ,EXPR_OR_FUNC --> LVALUE_TAIL EXPR_ANY_TAIL ,EXPR_OR_FUNC --> LVALUE_TAIL EXPR_ANY_TAIL ,EXPR_OR_FUNC --> LVALUE_TAIL EXPR_ANY_TAIL ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EXPR_NO_LVALUE,,,,EXPR_NO_LVALUE --> LPAREN EXPR RPAREN EXPR_ANY_TAIL ,,,,EXPR_NO_LVALUE --> MINUS ATOM_EXPR ,,,,,,,,,,,,,,,EXPR_NO_LVALUE --> CONST EXPR_ANY_TAIL ,EXPR_NO_LVALUE --> CONST EXPR_ANY_TAIL ,,,,,,,,,,,,,EXPR_NO_LVALUE --> CONST EXPR_ANY_TAIL ,,,,,,,,,,,,,
EXPR_ANY_TAIL,EXPR_ANY_TAIL --> NULL ,,EXPR_ANY_TAIL --> NULL ,,EXPR_ANY_TAIL --> NULL ,,EXPR_ANY_TAIL --> NULL ,,EXPR_ANY_TAIL --> ADD_SUB_EXPR_TAIL ,EXPR_ANY_TAIL --> MULT_DIV_EXPR_TAIL ,,EXPR_ANY_TAIL --> BOOL_EXPR_TAIL ,EXPR_ANY_TAIL --> BOOL_EXPR_TAIL ,EXPR_ANY_TAIL --> BOOL_EXPR_TAIL ,EXPR_ANY_TAIL --> BOOL_EXPR_TAIL ,EXPR_ANY_TAIL --> BOOL_EXPR_TAIL ,EXPR_ANY_TAIL --> BOOL_EXPR_TAIL ,EXPR_ANY_TAIL --> AND_EXPR_TAIL ,,,,,,,,,,,EXPR_ANY_TAIL --> NULL ,,,,,,,,,,EXPR_ANY_TAIL --> NULL ,EXPR_ANY_TAIL --> NULL ,,,,,,,,,,
EXPR,,,,EXPR --> EXPR_NO_LVALUE ,,,,EXPR --> EXPR_NO_LVALUE ,,,,,,,,,,,,,,EXPR --> ATOM_EXPR ,EXPR --> EXPR_NO_LVALUE ,EXPR --> EXPR_NO_LVALUE ,,,,,,,,,,,,,EXPR --> EXPR_NO_LVALUE ,,,,,,,,,,,,,
ATOM_EXPR,,,,,,,,,,,,,,,,,,,,,,ATOM_EXPR --> LVALUE ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NEGATED_EXPR,,,,,,,,NEGATED_EXPR --> MINUS ATOM_EXPR ,,,,,,,,,,,,,,NEGATED_EXPR --> ATOM_EXPR ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MULT_DIV_EXPR,,,,,,,,MULT_DIV_EXPR --> NEGATED_EXPR MULT_DIV_EXPR_TAIL ,,,,,,,,,,,,,,MULT_DIV_EXPR --> NEGATED_EXPR MULT_DIV_EXPR_TAIL ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MULT_DIV_EXPR_TAIL,MULT_DIV_EXPR_TAIL --> NULL ,,MULT_DIV_EXPR_TAIL --> NULL ,,MULT_DIV_EXPR_TAIL --> NULL ,,MULT_DIV_EXPR_TAIL --> NULL ,,MULT_DIV_EXPR_TAIL --> NULL ,MULT_DIV_EXPR_TAIL --> MULT NEGATED_EXPR MULT_DIV_EXPR_TAIL ,,MULT_DIV_EXPR_TAIL --> NULL ,MULT_DIV_EXPR_TAIL --> NULL ,MULT_DIV_EXPR_TAIL --> NULL ,MULT_DIV_EXPR_TAIL --> NULL ,MULT_DIV_EXPR_TAIL --> NULL ,MULT_DIV_EXPR_TAIL --> NULL ,MULT_DIV_EXPR_TAIL --> NULL ,,,,,,,,,,,MULT_DIV_EXPR_TAIL --> NULL ,,,,,,,,,,MULT_DIV_EXPR_TAIL --> NULL ,MULT_DIV_EXPR_TAIL --> NULL ,,,,,,,,,,
ADD_SUB_EXPR,,,,,,,,ADD_SUB_EXPR --> MULT_DIV_EXPR ADD_SUB_EXPR_TAIL ,,,,,,,,,,,,,,ADD_SUB_EXPR --> MULT_DIV_EXPR ADD_SUB_EXPR_TAIL ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADD_SUB_EXPR_TAIL,ADD_SUB_EXPR_TAIL --> NULL ,,ADD_SUB_EXPR_TAIL --> NULL ,,ADD_SUB_EXPR_TAIL --> NULL ,,ADD_SUB_EXPR_TAIL --> NULL ,,ADD_SUB_EXPR_TAIL --> PLUS MULT_DIV_EXPR ADD_SUB_EXPR_TAIL ,,,ADD_SUB_EXPR_TAIL --> NULL ,ADD_SUB_EXPR_TAIL --> NULL ,ADD_SUB_EXPR_TAIL --> NULL ,ADD_SUB_EXPR_TAIL --> NULL ,ADD_SUB_EXPR_TAIL --> NULL ,ADD_SUB_EXPR_TAIL --> NULL ,ADD_SUB_EXPR_TAIL --> NULL ,,,,,,,,,,,ADD_SUB_EXPR_TAIL --> NULL ,,,,,,,,,,ADD_SUB_EXPR_TAIL --> NULL ,ADD_SUB_EXPR_TAIL --> NULL ,,,,,,,,,,
BOOL_EXPR,,,,,,,,BOOL_EXPR --> ADD_SUB_EXPR BOOL_EXPR_TAIL ,,,,,,,,,,,,,,BOOL_EXPR --> ADD_SUB_EXPR BOOL_EXPR_TAIL ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BOOL_EXPR_TAIL,BOOL_EXPR_TAIL --> NULL ,,BOOL_EXPR_TAIL --> NULL ,,BOOL_EXPR_TAIL --> NULL ,,BOOL_EXPR_TAIL --> NULL ,,,,,BOOL_EXPR_TAIL --> BOOL_OP ADD_SUB_EXPR BOOL_EXPR_TAIL ,BOOL_EXPR_TAIL --> BOOL_OP ADD_SUB_EXPR BOOL_EXPR_TAIL ,BOOL_EXPR_TAIL --> BOOL_OP ADD_SUB_EXPR BOOL_EXPR_TAIL ,BOOL_EXPR_TAIL --> BOOL_OP ADD_SUB_EXPR BOOL_EXPR_TAIL ,BOOL_EXPR_TAIL --> BOOL_OP ADD_SUB_EXPR BOOL_EXPR_TAIL ,BOOL_EXPR_TAIL --> BOOL_OP ADD_SUB_EXPR BOOL_EXPR_TAIL ,BOOL_EXPR_TAIL --> NULL ,,,,,,,,,,,BOOL_EXPR_TAIL --> NULL ,,,,,,,,,,BOOL_EXPR_TAIL --> NULL ,BOOL_EXPR_TAIL --> NULL ,,,,,,,,,,
AND_EXPR,,,,,,,,AND_EXPR --> BOOL_EXPR AND_EXPR_TAIL ,,,,,,,,,,,,,,AND_EXPR --> BOOL_EXPR AND_EXPR_TAIL ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AND_EXPR_TAIL,AND_EXPR_TAIL --> NULL ,,AND_EXPR_TAIL --> NULL ,,AND_EXPR_TAIL --> NULL ,,AND_EXPR_TAIL --> NULL ,,,,,,,,,,,AND_EXPR_TAIL --> AND BOOL_EXPR AND_EXPR_TAIL ,,,,,,,,,,,AND_EXPR_TAIL --> NULL ,,,,,,,,,,AND_EXPR_TAIL --> NULL ,AND_EXPR_TAIL --> NULL ,,,,,,,,,,
OR_EXPR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BOOL_OP,,,,,,,,,,,,BOOL_OP --> EQ ,BOOL_OP --> LESSER ,BOOL_OP --> NEQ ,BOOL_OP --> GREATER ,BOOL_OP --> LESSEREQ ,BOOL_OP --> GREATEREQ ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CONST,,,,,,,,,,,,,,,,,,,,,,,CONST --> INTLIT ,CONST --> STRLIT ,,,,,,,,,,,,,CONST --> NIL ,,,,,,,,,,,,,
EXPR_LIST,,,,EXPR_LIST --> EXPR EXPR_LIST_TAIL ,EXPR_LIST --> NULL ,,,EXPR_LIST --> EXPR EXPR_LIST_TAIL ,,,,,,,,,,,,,,EXPR_LIST --> EXPR EXPR_LIST_TAIL ,EXPR_LIST --> EXPR EXPR_LIST_TAIL ,EXPR_LIST --> EXPR EXPR_LIST_TAIL ,,,,,,,,,,,,,EXPR_LIST --> EXPR EXPR_LIST_TAIL ,,,,,,,,,,,,,
EXPR_LIST_TAIL,EXPR_LIST_TAIL --> COMMA EXPR EXPR_LIST_TAIL ,,,,EXPR_LIST_TAIL --> NULL ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LVALUE,,,,,,,,,,,,,,,,,,,,,,LVALUE --> ID LVALUE_TAIL ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LVALUE_TAIL,LVALUE_TAIL --> NULL ,,LVALUE_TAIL --> NULL ,,LVALUE_TAIL --> NULL ,LVALUE_TAIL --> LBRACK EXPR RBRACK LVALUE_TAIL ,LVALUE_TAIL --> NULL ,,LVALUE_TAIL --> NULL ,LVALUE_TAIL --> NULL ,,LVALUE_TAIL --> NULL ,LVALUE_TAIL --> NULL ,LVALUE_TAIL --> NULL ,LVALUE_TAIL --> NULL ,LVALUE_TAIL --> NULL ,LVALUE_TAIL --> NULL ,LVALUE_TAIL --> NULL ,,LVALUE_TAIL --> NULL ,,,,,,,,,LVALUE_TAIL --> NULL ,,,,,,,,,,LVALUE_TAIL --> NULL ,LVALUE_TAIL --> NULL ,,,,,,,,,,
OPT_PREFIX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
